"Index","Ensembl.ID","Gene.name"
398,"ENSG00000270369","AL591684.3"
399,"ENSG00000258678","LINC02317"
400,"ENSG00000233469","ST6GALNAC4P1"
401,"ENSG00000238211","POLR2LP1"
402,"ENSG00000220256","AC093802.1"
403,"ENSG00000212497","RNA5SP465"
404,"ENSG00000280799","DUX4L5"
405,"ENSG00000261840","AC093249.6"
406,"ENSG00000234769","WASH4P"
407,"ENSG00000252705","RNU6-175P"
408,"ENSG00000199812","RNU6-428P"
409,"ENSG00000164266","SPINK1"
410,"ENSG00000261399","AL031710.1"
411,"ENSG00000258467","PHKBP2"
412,"ENSG00000241815","AC107015.1"
413,"ENSG00000187135","VSTM2B"
414,"ENSG00000206344","HCG27"
415,"ENSG00000274491","GNAS-AS1_4"
416,"ENSG00000240877","RN7SL521P"
417,"ENSG00000278126","AC139768.1"
418,"ENSG00000253713","AC091819.2"
419,"ENSG00000278981","AC079298.1"
420,"ENSG00000214929","SPATA31D1"
421,"ENSG00000248548","MTND4P8"
422,"ENSG00000168237","GLYCTK"
423,"ENSG00000009724","MASP2"
424,"ENSG00000237424","FOXD2-AS1"
425,"ENSG00000228045","DNAJA1P6"
426,"ENSG00000177519","RPRM"
428,"ENSG00000105048","TNNT1"
429,"ENSG00000280106","AC008555.8"
430,"ENSG00000228360","AC009220.1"
431,"ENSG00000228166","MTND1P11"
432,"ENSG00000260414","AC138869.1"
433,"ENSG00000198888","MT-ND1"
434,"ENSG00000143224","PPOX"
436,"ENSG00000242524","OR2U2P"
437,"ENSG00000236878","MTATP6P26"
438,"ENSG00000206047","DEFA1"
439,"ENSG00000231496","AL136369.2"
440,"ENSG00000258743","LINC02301"
441,"ENSG00000049239","H6PD"
442,"ENSG00000089902","RCOR1"
443,"ENSG00000178075","GRAMD1C"
444,"ENSG00000227964","LINC01429"
447,"ENSG00000108443","RPS6KB1"
448,"ENSG00000269921","AC068620.2"
449,"ENSG00000272734","ADIRF-AS1"
450,"ENSG00000106571","GLI3"
451,"ENSG00000263631","MIR378D1"
452,"ENSG00000228316","MTATP6P19"
453,"ENSG00000229406","OFD1P4Y"
454,"ENSG00000226824","AC006001.2"
456,"ENSG00000152049","KCNE4"
457,"ENSG00000230707","AL589987.1"
458,"ENSG00000266563","EIF1P5"
459,"ENSG00000123364","HOXC13"
460,"ENSG00000225082","DAP3P1"
